,Title,label,CMIP6 Title,Coordinates,Cell Measures,description
rec8l6oxet6o5eEy3,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] {dbze:} [tpt]",str-321,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] {dbze:} [tpt]",,area: areacella,
rec8mj9cERN6hkmbg,"Temporal mean, Global field (single level) [XY-na] [amncl-twm]",str-a049,"Temporal mean, Global field (single level) [XY-na] [amncl-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec8tM8sdeBAeoyEY,"Instantaneous value (i.e. synoptic or time-step value), Global field, single level [XY-na] {effectRadIc tau:} [amn-tpt]",str-d82,"Instantaneous value (i.e. synoptic or time-step value), Global field, single level [XY-na] {effectRadIc tau:} [amn-tpt]",,area: areacella,
rec92jWQNhHv22m2L,"Model Configuration Field on Ocean-Model Levels, Area Mean",str-d12,"No temporal dimensions ... fixed field, Global ocean field on model levels [XY-O] [amn-fx]",,area: areacello volume: volcello,
rec98eSz9jD18Xi4K,Time and Global Mean on a Single Level,str-135,"Temporal mean, Global mean/constant [na-na] [amse-tmn]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec9KfWXLNxOEsEwt,"Model Configuration Field, Area Sum (No Height Dependence)",str-e001,"No temporal dimensions ... fixed field, Global field (single level, area sum) [XY-na]",,,
rec9Mm1pTbt4UoEwM,Time-Mean Near-Surface Field (2m),str-116,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec9Nsf2GjaxkPZ4F,"Temporal Mean, Global field (7 pressure tropospheric levels) [XY-P7T] [am-tm]",str-b311,"Temporal Mean, Global field (7 pressure tropospheric levels) [XY-P7T] [am-tm]",,area: areacella,
rec9hWywSztcYLJXe,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere half-levels [XY-AH] [amn-tpt]",str-010,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere half-levels [XY-AH] [amn-tpt]",,area: areacella,
rec9xHgl32jrFghuU,"Temporal Minimum, Global field (single level) [XY-na] {:height2m} [tminc]",str-e189,"Temporal Minimum, Global field (single level) [XY-na] {:height2m} [tminc]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recA4QW9ldNv4rw5V,"Temporal mean, Global field (single level) [XY-na] {:typetreene} [amnlax-tmn]",str-z104,"Temporal mean, Global field (single level) [XY-na] {:typetreene} [amnlax-tmn]",typetreene,area: areacella,
recA4R4QBKnNUTRbP,"Temporal mean, Global field on 40 altitude levels [XY-H40] [tmean]",str-078,"Temporal mean, Global field on 40 altitude levels [XY-H40] [tmean]",,area: areacella,
recA7sE8cr5nLtEJI,"Model Configuration Field on Sea Floor, Area Mean, Masked (Sea)",str-d39,"No temporal dimensions ... fixed field, Global field (single level) [XY-na] [amns-fx]",,area: areacello,
recAFlTAsAMgEM7re,"Model Configuration Field on Ocean-Model Levels, Area Sum",str-d13,"No temporal dimensions ... fixed field, Global ocean field on model levels [XY-O] [asum-fx]",,area: areacello volume: volcello,
recAT5Z9e4Fh129nU,"Temporal mean, Global field (single level) [XY-na]",str-d67,"Temporal mean, Global field (single level) [XY-na]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recB52KIKh2PFEIBC,"Climatological mean, Global mean/constant [na-na] [aclim]",str-a449,"Climatological mean, Global mean/constant [na-na] [aclim]",,,
recB9271v6wjnVadQ,"Temporal mean, Global mean/constant [na-na] {:height2m} [amni-twmn]",str-d68,"Temporal mean, Global mean/constant [na-na] {:height2m} [amni-twmn]",height2m,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recBG1wDEWUjkmuiM,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {landUse:} [amlax-tpt]",str-h062,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {landUse:} [amlax-tpt]",,area: areacella,
recBgyKh3n14AwKq5,"Temporal mean, Global field (single level) [XY-na] {landUse: typenwd} [amnlax-tmn]",str-h054,"Temporal mean, Global field (single level) [XY-na] {landUse: typenwd} [amnlax-tmn]",typenwd,area: areacella,"For use with an area type variable, describing the mean area of non-woody vegetation (not currently a valid CF area type)"
recD2azwccm2Gzjon,"Temporal mean, Ocean Basin Meridional Section (on density surfaces) [YB-R] [bzzsum]",str-h004,"Temporal mean, Ocean Basin Meridional Section (on density surfaces) [YB-R] [bzzsum]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recDIqvQuKHuHjZLW,"Temporal mean, Global field (sum over depth) [XY-na] [amdss-tmn]",str-d02,"Temporal mean, Global field (sum over depth) [XY-na] [amdss-tmn]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recDcMcwSqoyIlaxo,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles (half levels) at specified sites [S-AH] [tpt]",str-174,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles (half levels) at specified sites [S-AH] [tpt]",,,
recDkr4sNYarx4uB6,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {spectband:} [tpt]",str-d31,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {spectband:} [tpt]",,area: areacella,
recE0v1zYUeGnOAtf,"Temporal mean, Global field (single level) [XY-na] {:p10}",str-d50,"Temporal mean, Global field (single level) [XY-na] {:p10}",p10,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recEPnALpuEKtIH2z,"Temporal mean, Global field (single level) [XY-na] {:typebare} [amnlax-tmn]",str-h033,"Temporal mean, Global field (single level) [XY-na] {:typebare} [amnlax-tmn]",typebare,area: areacella,
recEW1Igv50ska0O5,"Temporal mean, Global ocean field on model half levels [XY-OH] [tmean]",str-x157,"Temporal mean, Global ocean field on model half levels [XY-OH] [tmean]",,area: areacello,
recEctZwz4CO7pyiW,"Temporal mean, Global field (single level) [XY-na] {:typesdec} [amnlax-tmn]",str-h037,"Temporal mean, Global field (single level) [XY-na] {:typesdec} [amnlax-tmn]",typesdec,area: areacella,
recEsGRKMY1qbJSNg,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",str-261,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recFDvkvEg7uXxj2K,"Instantaneous value (i.e. synoptic or time-step value), Global field (7 pressure tropospheric levels) [XY-P7T] [amn-tpt]",str-311,"Instantaneous value (i.e. synoptic or time-step value), Global field (7 pressure tropospheric levels) [XY-P7T] [amn-tpt]",,area: areacella,
recFmXS0ObtZmU6om,"Temporal mean, Global field (single level) [XY-na] {:depth100m} [amse-tmn]",str-a015,"Temporal mean, Global field (single level) [XY-na] {:depth100m} [amse-tmn]",depth100m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recFygq63QxTn19H3,"Temporal mean, Global field (single level) [XY-na] [amnla-tmnsn]",str-a014,"Temporal mean, Global field (single level) [XY-na] [amnla-tmnsn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recG0Wxf26PpnyO4u,"Temporal mean, Global field on soil levels [XY-S] [amnla-tmn]",str-385,"Temporal mean, Global field on soil levels [XY-S] [amnla-tmn]",,area: areacella,
recG2ycHIFAoeCxWn,"Temporal Maximum, Global field (single level) [XY-na] [tmax]",str-147,"Temporal Maximum, Global field (single level) [XY-na] [tmax]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recG3i5s9Fz3ZIXOF,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amnfi-twmn]",str-b125,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amnfi-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recGBFgAYvmuv4fN4,"Temporal mean, Global field on 40 altitude levels [XY-H40] {dbze:} [tmean]",str-038,"Temporal mean, Global field on 40 altitude levels [XY-H40] {dbze:} [tmean]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recGNLJKNl34navQ2,"Temporal mean, Global field (single level) [XY-na] {:typetreebd} [amnlax-tmn]",str-h043,"Temporal mean, Global field (single level) [XY-na] {:typetreebd} [amnlax-tmn]",typetreebd,area: areacella,
recGTVPSwm9Tdf8oD,"Temporal mean, Global field (single level) [XY-na] {iceband:} [amnsi-twm]",str-b117,"Temporal mean, Global field (single level) [XY-na] {iceband:} [amnsi-twm]",,area: areacello,
recGW26PiyRTAo2tE,"Temporal mean, Global field (single level) [XY-na] {:typeresidual} [amnlax-tmn]",str-z103,"Temporal mean, Global field (single level) [XY-na] {:typeresidual} [amnlax-tmn]",typeresidual,area: areacella,
recGX0BMmBCmn2iIn,"Temporal mean, Global field (single level) [XY-na] {:p560} [tmean]",str-063,"Temporal mean, Global field (single level) [XY-na] {:p560} [tmean]",p560,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recGcn6jLgHQ98pHO,"Temporal mean, Zonal mean (on surface) [Y-na] {:p100} [zmean]",str-d17,"Temporal mean, Zonal mean (on surface) [Y-na] {:p100} [zmean]",p100,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recGpDQskZ2Symkv5,"Temporal mean, Global field (single level) [XY-na] {:typetree} [amnlax-tmn]",str-h022,"Temporal mean, Global field (single level) [XY-na] {:typetree} [amnlax-tmn]",typetree,area: areacella,
recHCiqSIIOZC4BJf,"Temporal mean, Global field (single level) [XY-na] {sza5:} [amse-tmn]",str-b453,"Temporal mean, Global field (single level) [XY-na] {sza5:} [amse-tmn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recHerKbcSbU4ZGZH,"Temporal mean, Global field (single level) [XY-na] {:depth300m} [tmean]",str-d29,"Temporal mean, Global field (single level) [XY-na] {:depth300m} [tmean]",depth300m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recHmyaWQgGP2ndEe,"Temporal mean, Global field on model atmosphere levels [XY-A]",str-d49,"Temporal mean, Global field on model atmosphere levels [XY-A]",,area: areacella,
recHmzcaIMUCJkQm9,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amn-tpt]",str-d11,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amn-tpt]",,area: areacella,
recIVqwRK4O5rBdvP,"Hourly Maximum, Global field (single level) [XY-na] [tmean]",str-x212,"Hourly Maximum, Global field (single level) [XY-na] [tmean]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recIjCKe4muXNg2DQ,"Temporal mean, Global field (soil pools) [XY-na] {soilpools:} [amnla-tmn]",str-h641,"Temporal mean, Global field (soil pools) [XY-na] {soilpools:} [amnla-tmn]",,area: areacella,
recImG2peQDGTDQVj,"Temporal mean, Zonal mean (on surface) [Y-na] [tmean]",str-a076,"Temporal mean, Zonal mean (on surface) [Y-na] [tmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recJZlSAT8p0ejuHM,"Climatological mean, Global field (19 pressure levels) [XY-P19] [aclim]",str-a063,"Climatological mean, Global field (19 pressure levels) [XY-P19] [aclim]",,area: areacella,
recJuEiWkBTSIAyW7,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:p850}",str-d51,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:p850}",p850,area: areacella,
recK6XRMBS3LBNLZE,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dminc]",str-e082,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dminc]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recK9W9Mj26HYF1tM,"Temporal Minimum, Global field (single level) [XY-na] [tmin]",str-a423,"Temporal Minimum, Global field (single level) [XY-na] [tmin]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recKBbZlhEMvps1SM,"Instantaneous, Global field (single level) [XY-na] {:p560} [amn-tpt]",str-963,"Instantaneous, Global field (single level) [XY-na] {:p560} [amn-tpt]",p560,area: areacella,
recKC9DKUSjap5Iv8,"Time  mean, weighted by sea ice ridge area, Global field (single level) [XY-na] [amnsirdg-twm]",str-z169,"Time  mean, weighted by sea ice ridge area, Global field (single level) [XY-na] [amnsirdg-twm]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recKceET5JnFi6Uva,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmaxc]",str-e083,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmaxc]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recKdby0t6oeN01fN,"Temporal mean, Global field (single level) [XY-na] {landUse:} [amnlax-tmn]",str-h056,"Temporal mean, Global field (single level) [XY-na] {landUse:} [amnlax-tmn]",,area: areacella,
recLqEUXjOc09FwId,"Temporal mean, Global field (single level) [XY-na] {:lambda550nm} [am-tm]",str-913,"Temporal mean, Global field (single level) [XY-na] {:lambda550nm} [am-tm]",lambda550nm,area: areacella,
recMLETOp7lKjcV7Z,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {landUse:}",str-b201,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {landUse:}",,area: areacella,
recMeMiQhzVOZOH5T,"Temporal mean, Global field (single level) [XY-na]  [adm-tm]",str-d27,"Temporal mean, Global field (single level) [XY-na]  [adm-tm]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recNapLPdi1xESTqZ,"Temporal mean, Masked global mean - floating ice shelves [amnfi-twm]",str-x184,"Temporal mean, Masked global mean - floating ice shelves [amnfi-twm]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recO0oWe0VQfWFnvP,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [am-tm]",str-b195,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [am-tm]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recOGfX2eeOySmv9Z,"Climatological mean, Global field on model atmosphere levels [XY-A] [aclim]",str-a468,"Climatological mean, Global field on model atmosphere levels [XY-A] [aclim]",,area: areacella,
recOlukJ1PN6NVPaO,"Weighted Time-Mean on Single Level, Masked (Sea)",str-z015,"Temporal weighted mean, Global field (single level) [XY-na] {:typesi} [amse-tmn]",typesi,area: areacella,
recP6ZSDjXATio5I3,"Instantaneous, Global field (single level) [XY-na] {:p840} [amn-tpt]",str-943,"Instantaneous, Global field (single level) [XY-na] {:p840} [amn-tpt]",p840,area: areacella,
recPVdLdx6Szl5txk,"Temporal mean, Global field (single level) [XY-na] {:p100}",str-d53,"Temporal mean, Global field (single level) [XY-na] {:p100}",p100,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recPme5IkFKXLSDSh,"Temporal mean, Global field (16 altitudes) [XY-H16] {tau:} [am-tm]",str-d41,"Temporal mean, Global field (16 altitudes) [XY-H16] {tau:} [am-tm]",,area: areacella,
recPpPKCjaW2BD69T,"Temporal mean, Global field (single level) [XY-na] {:typec3pastures} [amnlax-tmn]",str-h061,"Temporal mean, Global field (single level) [XY-na] {:typec3pastures} [amnlax-tmn]",typec3pastures,area: areacella,
