,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
rec0dvT1rwkCJ0oq4,dcw,Change in Interception Storage,change_over_time_in_canopy_water_amount,kg m-2,59170f66-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recSxlBFdFA418siJ'],"The phrase ""change\_over\_time\_in\_X"" means change in a quantity X over a time-interval, which should be defined by the bounds of the time coordinate. ""Canopy"" means the plant or vegetation canopy. Canopy water is the water on the canopy. ""Water"" means water in all phases, including frozen, i.e. ice and snow. ""Amount"" means mass per unit area.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0kd4b0mC6vmiVR,tdps,2m Dewpoint Temperature,dew_point_temperature,K,4f3e5df56723b77c87e15cce7594ab94,SPECS_6hr,1,Existing physical parameter,"['recwAOoMOKMr6TrMR', 'rec4siuCKA9WfGYvj']","Dew point temperature is the temperature at which a parcel of air reaches saturation upon being cooled at constant pressure and specific humidity.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0lCTZRDe4CleNI,tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation,s-1,59135d8a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,"['recMXPbX2hjU7OoWA', 'recvVgeZ044wxyfxD']","The phrase ""tendency\_of\_X"" means derivative of X with respect to time. ""Specific"" means per unit mass. Specific humidity is the mass fraction of water vapor in (moist) air. The specification of a physical process by the phrase ""due\_to\_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. A variable with the standard name of tendency\_of\_specific\_humidity\_due\_to\_stratiform\_cloud\_and\_precipitation should contain the effects of all processes which convert stratiform clouds and precipitation to or from water vapor. In an atmosphere model, stratiform cloud is that produced by large-scale convergence (not the convection schemes).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0paBCrHfYJHRCZ,tsl,Temperature of Soil,soil_temperature,K,3fd3cb4e2d6dd15b7dd73def96fea129,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,"['recHc5iUkKNfWXMnj', 'recYK99hKkF71K5rv', 'recVth6rv7U2n6OIM']","Temperature of soil. Reported as missing for grid cells with no land.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0rqt5QS2q2sJnA,co2s,Atmosphere CO2,mole_fraction_of_carbon_dioxide_in_air,1E-06,591469b4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [DCPP],1,Existing physical parameter,['recWvVdAzfo99g9DB'],"As co2, but only at the surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0zTMEu2lhGB6D9,wsgmax100m,Maximum Wind Speed of Gust at 100m,wind_speed_of_gust,m s-1,e4b039da-b621-11e6-bbe2-ac72891c3257,VIACSAB,1,Existing physical parameter,"['recqgxifPXsmLciGY', 'recyE8U8WBqV0DCcG', 'recUSWe26A20XMFal']","Wind speed gust maximum at 100m above surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0zUQe9TG9u373c,zg500,Geopotential Height at 500hPa,geopotential_height,m,c0007a5e2b555d399d9bfe49f7502f1b,CCMI1_daily,1,Existing physical parameter,"['recqlXvmowWeJNJxc', 'recRqPcMwJ7JQL6KY']","geopotential height on the 500 hPa surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec139fZE8dzsBCGu,detoc,Detrital Organic Carbon Concentration,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,mol m-3,b0a9616ddee15d1f3740ce445bd82fb1,OMIP,1,Existing physical parameter,"['recrkzs016EcVuRtx', 'recsdyASRKrspUiyS', 'recDCsImmqFpVGItL']","Sum of detrital organic carbon component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec177ZA9FO2ZbAWu,landCoverFrac,Percentage of Area by Vegetation or Land-Cover Category,area_fraction,%,f3710647d155ec76d2c4cdfa866be579,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recPamIOKRc98X11Q'],"Percentage of grid cell area occupied by different model vegetation/land cover categories. The categories may differ from model to model, depending on each model's subgrid land cover category definitions. Categories may include natural vegetation, anthropogenic vegetation, bare soil, lakes, urban areas, glaciers, etc. Sum of all should equal the percentage of the grid cell that is land.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec198Lzm49jYQCob,fescav,Non-Biogenic Iron Scavenging,tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_scavenging_by_inorganic_particles,mol m-3 s-1,9a9dda6b54b64f67bda703c77465cceb,CMIP5_Oyr,1,Existing physical parameter,['recXvf2Raw8rJjKn5'],"Dissolved Fe removed through nonbiogenic scavenging onto particles
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1BmI1c6l0igzON,sossq,Square of Sea Surface Salinity,square_of_sea_surface_salinity,1E-06,d4eb6956-b00f-11e6-a1f0-ac72891c3257,CMIP6 Endorsement [OMIP],1,Existing physical parameter,"['rec2o0nksCKcizior', 'recOGdQ7QDocdoD10']","Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1CoPeLujbOdQ06,tslsiLut,Surface Temperature on Landuse Tile,surface_temperature,K,590e417e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recgCB6mifc4jHcC0'],"Surface temperature (i.e. temperature at which long-wave radiation emitted)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1CrOPoSvCHeNLS,rsdcsaf,"Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,W m-2,ea83846e-a0de-11e6-bc63-ac72891c3257,CMIP6 endorsement [RFMIP],1,Existing physical parameter,['recsswTlBBJoneNzP'],"Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1GMLyu22Oxu3IE,wetlandCH4prod,Grid Averaged Methane Production (Methanogenesis) from Wetlands,surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,kg m-2 s-1,590f8fca-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recoLFVql46DiTmHR'],"Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1GalVUv8WwlHXC,abs550bc,ambient black carbon aerosol absorption optical depth at 550nm,atmosphere_absorption_optical_thickness_due_to_black_carbon_ambient_aerosol,1,,,1,Under review,['receFsp9MokE3Erew'],,0 checked out of 1,2024-08-29T11:32:47.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To unravel reason for model spread in direct aerosol effect
",,,,,,,,,,,,,
rec1H4TRuNp5rQF52,fLulccProductLut,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,3f30714c-b89b-11e6-be04-ac72891c3257,CMIP6 [LUMIP],1,Existing physical parameter,['recYQYeVoP151hZSg'],"This annual mean flux refers to the transfer of carbon primarily through harvesting land use into anthropogenic product pools, e.g.,deforestation or wood harvesting from primary or secondary lands, food harvesting on croplands, harvesting (grazing) by animals on pastures.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1LpIq4RLuwwB5n,nppLut,Net Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,59148a84-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recGVktZllIQpHPN1'],"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed\_as"" is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1R0SH1SUsr3VAG,gppLut,Gross Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,590a8976-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recmpJ9oj0A4lg9oa'],"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production. Reported on land-use tiles.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1RQE4e3yAXROk3,sisali,Sea Ice Salinity,sea_ice_salinity,1,5913e674-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['rec7PnlLKbnHfCl7i', 'rechOuHtAACyJO1FD']","Mean sea-ice salinity of all sea ice in grid cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
rec1SIXL4nvJOqPsS,hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water,W m-2,af7707ac309cab4b2f2ce461f89ab741,OMIP.Omon,1,Existing physical parameter,['recz0ljqrgF3xFbro'],"This is defined as ""where ice\_free\_sea over sea""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.  All such heat fluxes are computed based on Celsius scale.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1TiHybL46ZAorq,sfpm25,PM2.5 Mass Mixing Ratio in Lowest Model Layer,mass_fraction_of_pm2p5_ambient_aerosol_particles_in_air,kg kg-1,fe6cc8a8-a41f-11e5-9025-ac72891c3257,AerChemMIP endorsement (1),1,Existing physical parameter,"['rec409E6LmBkEHDVJ', 'recCxrxOH4bDOsmPr']","Mass fraction of atmospheric particulate compounds with an aerodynamic diameter of less than or equal to 2.5 micrometers. To specify the relative humidity and temperature at which the particle size applies, provide scalar coordinate variables with the standard names of ""relative\_humidity"" and ""air\_temperature"".
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['nsrf'],,,,,,,,,,,
rec1Wt19JczNvWQDD,mrsow,Total Soil Wetness,volume_fraction_of_condensed_water_in_soil_at_field_capacity,1,59133b34-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['reci8sTPRnqx02HLK'],"Vertically integrated soil moisture divided by maximum allowable soil moisture above wilting point.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['vi'],,,,,,,,,,,
rec1YXCR22SPS0hxk,c4h10,Butane volume mixing ratio,mole_fraction_of_butane_in_air,mol mol-1,,,1,Under review,['reciotEUSh0BnWdmK'],,0 checked out of 1,2024-08-29T12:14:08.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand VOC budgets
",,,,,,,,,,,,,
rec1Z2aL6erLMPQHU,mc,Convective Mass Flux,atmosphere_net_upward_convective_mass_flux,kg m-2 s-1,6d790fe4caa7feff46a41ae7b3811e52,"CMIP5_Amon,CMIP5_CFday,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['recd2Rn17RgGKVP5A', 'recVrp9V7GQt7njLQ', 'recFpvwAUT2mMu6LA', 'reccBAIoR2ut8nbRU']","The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1gPHWny7PJ7ssO,reffgrpls,Hydrometeor Effective Radius of Stratiform Graupel,effective_radius_of_stratiform_cloud_graupel_particles,m,cbd8a804ef6ec2ec45913e74f25d973f,CMIP5_CF3hr,1,Existing physical parameter,['rech4LA2rp0pK82QP'],"This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1jsKjoZHiRdf0a,sob,Sea Water Salinity at Sea Floor,sea_water_salinity_at_sea_floor,1,0086e9daf8d4fb6cb305e03119d2ac2d,OMIP_Omon,1,Existing physical parameter,['rec3PZ3TnBjVh0zET'],"Model prognostic salinity at bottom-most model grid cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1kIQQ6u4ryRokt,cw,Total Canopy Water Storage,canopy_water_amount,kg m-2,591409a6-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recj7c5FfWdYe2uz2'],"""Amount"" means mass per unit area. ""Water"" means water in all phases, including frozen i.e. ice and snow. ""Canopy"" means the plant or vegetation canopy. The canopy water is the water on the canopy.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1oK5clxjiG5NmK,clcalipso,CALIPSO Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,%,400e5707b65c01e31f2ec6a59dd3983b,"CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFmon,CMIP5_CFsubhrOff",1,Existing physical parameter,"['recjB3zCsLeWAkgJk', 'recdpDyKL6IGL1Q6Y', 'recW8xpQDKIDvfLrg']","Percentage cloud cover in CALIPSO standard atmospheric layers.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1ri1nKo70XsspQ,abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,1,0baf6a333b91c4db341b515c28cd2c05,CMIP5_aero,1,Existing physical parameter,['recnBztLdXxJXo95l'],"Optical thickness of atmospheric aerosols at wavelength 550 nanometers.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec1v2V2DTBTFSmKK,albsrfc,Surface albedo,surface_albedo,1,,,1,Under review,"['recX0mH6J1xAR0af9', 'recfphpvUhcc5d0G5', 'recjHphrELckP4AJx']",,0 checked out of 1,2024-08-29T20:53:24.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"Provision of mean-band surface albedo
",,,,,,,,,,,,,
rec21yIpTObgIi2eR,nppStem,Net Primary Production Allocated to Stem as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_stems,kg m-2 s-1,84f09f30-acb7-11e6-b5ee-ac72891c3257,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recntdIlaGzMWsMhH'],"added for completeness with npp\_root
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2AcR9DaKYmQMyC,o2,Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,c2705ac5fb7561a3aa5744c1163bf2d7,OMIP,1,Existing physical parameter,"['rec0Bi96fJH25GCd6', 'recSLWqKrrtCxd6mH', 'reciTcX4nsM8iqxY6']","'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2BkBLLre3E54ue,exparag,Downward Flux of Aragonite,sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water,mol m-2 s-1,684d3f3543045a89ecbb0ca81ba6705f,OMIP,1,Existing physical parameter,"['recVR1VsGNyjXfWBC', 'recCjk3cUyW2MGG81']","Downward flux of Aragonite
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2PRh5kUWxCzD63,wetnh4,Wet Deposition Rate of NH4,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1,86b2899d1c267c92e3fbaccd21b55472,CCMI1_monthly,1,Existing physical parameter,"['recCZl68lRPVOqcqY', 'recunQ3Nq8rxqRAvq', 'recKJed4SJDaUh2yt']","Surface deposition rate of ammonium (NH4) due to wet processes
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2U94eb79Z8tFF4,zg100,Geopotential Height at 100hPa,geopotential_height,m,b1644981b0abd369ad35fac3fc930873,CCMI1_daily,1,Existing physical parameter,['recCaj5n2WSVaL1Iq'],"Geopotential height on the 100 hPa surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2ZXBt3SjwJqFyj,mrsfl,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,kg m-2,590d17f4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,"['recCSToRqCGuE6kvY', 'recMw5nXQvF1wDKlc']","in each soil layer, the mass of water in ice phase.  Reported as ""missing"" for grid cells occupied entirely by ""sea""
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2crPPAH6gLSHJj,wfo,Water Flux into Sea Water,water_flux_into_sea_water,kg m-2 s-1,c3805ef555348a5f525cf09ccb254af4,OMIP.Omon,1,Existing physical parameter,"['recLG6Erh6LH4l2Au', 'recJpG0BwSGf96ykV', 'recABsIsdcnZ4E5M0']","Computed as the water flux into the ocean divided by the area of the ocean portion of the grid cell. This is the sum \*wfonocorr\* and \*wfcorr\*.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2dAYtnfT8ddNFF,cVegTree,Carbon Mass in Vegetation on Tree Tiles,vegetation_carbon_content,kg m-2,84f0ff48-acb7-11e6-b5ee-ac72891c3257,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recxpLMtcTQAkyq47'],"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec2j765AjVBl0xxb,scldncl,Cloud Droplet Number Concentration of Stratiform Cloud Tops,number_concentration_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,m-3,5917af7a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,"['recRlqlxjDVitQBoh', 'recso0v2x0gAvbPfC']","Droplets are liquid only.  Report concentration ""as seen from space"" over stratiform liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
