,Title,Comment,Status,Author teams to alert,Data Request Actions,GitHub Issue URL,Coordinates and Dimensions,GitHub Issue number,Spatial Shape,Temporal Shape
rechxH0FNVVqiSxmA,Additional information required for variable C3H6,"For mole fractions of different VOCs (e.g., C3H6), the list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. How can this information be captured in the data request?
",In progress,['Atmosphere'],,,,,,
recjBpq3kPUEKnpXu,more precise definition for fx.mrsofc,"We request to provide a more precise definition of the physical quantity – it should exclude lake water and must refer to soil water only. This is an outcome from a PMIP discussion. Since the variable is not originally part of the ocean and sea ice theme, could this request be forwarded to relevant other entities? Thank you.
",In progress,,,,,,,
recjJoe6G3Prlzkqp,Wrong spatial shape associated to ocean bgc export fluxes,"The spatial shape of the following variables representing 2D fluxes at the ocean bottom should be modified into **Global field (single level)**:
`Omon.exparagob, Omon.expcalcob, Omon.expcob, Omon.expfeob, Omon.expnob, Omon.exppob, Omon.expsiob`
",New,"['Ocean & Sea-Ice', 'Earth system']",,,,,Global field (single level),
reckmYZxiUnoBTQd8,Definition of temperature variables,"In CMIP7, is it possible to clarify the definition of daily near-surface air temperature (tas), and its relationship between daily maximum (tasmax) and minimum (tasmin) temperatures? Does daily mean temperature, i.e., (day.tasmax+day.tasmin)/2, equal to or close to day.tas?
",In progress,['Atmosphere'],,,,,,
recmaxGK1DRVqxbF6,definition of variables Emon.albl and Emon.albo,"The idea of these variables is to gather information on the albedo of the surface that is not covered by ice or by snow - this means that if a grid cell is partly covered by ice or by snow, the value should be computed only on the part of the non-snow or non-ice cover, respectively, ignoring albedo of the snow or ice cover. We may therefore have to update the cell measures accordingly.
",New,"['Atmosphere', 'Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice']",,,,,,
recmdn1tYpF7opUwa,update of temporal shape necessary,"The temporal shape is wrong - it should be time-mean, please correct.
",Done,"['Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice', 'Atmosphere']","Done
",,,,,time-intv
recn0a6397Y8gkBOi,Eday.albsrfc to be added to variable group paleo_land_atmosphere_surface,"Eday.albsrfc to be added to variable group paleo\_land\_atmosphere\_surface
",New,"['Atmosphere', 'Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice']",,,,,,
recnFXMJXVbiF9RoE,Additional information requested for data variable C3H8,"For mole fractions of different VOCs (e.g., C3H8), the list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. How can this information be captured in the data request?
",In progress,['Atmosphere'],,,,,,
recnJHVsBJj7TYWHM,co2mass cell methods,"Replace cell methods of co2mass (\`area: time: mean\`) and co2massClim (\`area: mean time: mean within years time: mean over years\`) with \`height: sum (through atmospheric column) area: sum time: mean\` and \`height: sum (through atmospheric column) area: sum time: mean within years time: mean over years\`.

Similar, but not identical changes may be needed for a range of global mean mixing ratios (e.g. \`cfc11global\`).
",New,['Atmosphere'],,https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/31,,31,Global mean or constant,
recnSUM6scfVUwrZi,Confirmation of entries for o3ref variable,"I've proposed a new variable o3ref and wanted to check that I've entered the correct entries for cell methods etc. The field is global in spatial scale (lat, lon, model levels). It is a time-invariant field, in that it won't vary over the course of a simulation but it may have a time dimension. For example, it might be implemented in a model with a seasonal cycle (for example, as monthly means) or it may have no time dimension at all. 
",In progress,['Atmosphere'],,,,,,
recnbcHLfeGkBAPMd,Wrong variable Emon.tauuogw,"One of the two variables of the same name Emon.tauuogw is wrongly defined (n.22 in the list of new variables).
",Done,['Atmosphere'],"MJ 6 Sep 9:58: delete version which is defined as ""non-orgraphic"", leaving the correct version (""orographic"").
",,,,,
recnhU134qNLfKBLk,Correct MIP table for o3inst?,"This 3D tracer is to be sampled on the first day of each month as an instantaneous field. I'm still waiting to hear whether it's a single time point on that day or a diurnal cycle, but it has been currently placed in the AERmon table. Is this the correct table for this variable?
",In progress,['Atmosphere'],,,,,,
recpeaFGKQVAL5B2N,Change vegtype coordinate ,"The vegtype coordinate uses model-specific categories. 
To improve the inter-comparability among models, it would be useful to introduce a set of general categories.
Since some ""fraction"" variables are already defined on some vegetation categories, the set of categories to use in vegtype can be derived from that list.
In particular, they could be:
Broadleaf Deciduous
Broadleaf Evergreen
Needleleaf Deciduous
Needleleaf Evergreen
grass
crop
shrub 
",In progress,['Land & Land-Ice'],,https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/21,vegtype,21,,
recti5HCQ8d3UmJqt,prhmax should be a single level (surface) field only,"Currently the prhmax fields (Emon.prhmax, Eday.prhmax) are set as a Global Field (model levels) for Structure Title, but we think that it should be temporal maximum rainfall flux at surface, to make it clear that it is just a single level required rather than vertical levels. 

The description of these two variables also need to be made consistent with the field and each other.
",Done,['Atmosphere'],"Spatial shape, temporal shape and cell methods adjusted,
",,,,,
recuKOxbsw9Sh0Iqz,Emon.albsrfc to be added to variable group paleo_land_atmosphere_surface,"Emon.albsrfc to be added to variable group paleo\_land\_atmosphere\_surface
",New,"['Atmosphere', 'Ocean & Sea-Ice', 'Land & Land-Ice', 'Earth system']",,,,,,
recvr4Ew96La0XLUW,3hrPt.bldep dimensions garbled,"The dimensions for this variable are "" longitude, latitude, time1, latitude, longitude, depth0m"" rather than the expected  ""longitude, latitude, time1""
",New,['Atmosphere'],,,,,,
recwAcTjm5B1Ga5e2,Adding flag_values and flag_meanings,"The variable Ofx.basin in the CMIP6 data request (also in CMIP5 standard output) had flag\_values and flag\_meanings specified. These were listed in the ""Structure"" record. Ofx.basin is the only CMIP6 variable that uses these CF terms. As the structure record is not being used to define variables in CMIP7, we need to move the information somewhere else. This potentially means adding one or two columns in one of the Air TAble tables. 

1. Add ""Flag Values"" and ""Flag Meanings"" columns in the ""Physical Parameter"" table. These columns would be blank for all other variables, but it is easy to implement.  
2. It may be clearer to use the ""Units"" table, and rename it ""Units and Flags"". The examples given for flag\_values and flag\_meanings in the CF Conventions document to not include a ""units"" value because there is no unit of measure here: each value in the Ofx.basin field is just a flag to be associated with a character value. This means that the value of ""units"" is redundant for this variable. Placing the flag\_values and the flag\_meanings in the ""Units and Flags"" table will make it easier to attach a clear explanation of this feature. This will not impact on how the information is exported to MIP Tables. [Note: the ""Units"" table from the CMIP6 request has not yet been added to Air Table but can easily be imported in option 2 is taken). 
",In progress,['CF Working Group'],,,,,,
recwvEHYTd3FoUfKX,Mask name error,"The name of the mask in the comment does not match a valid variable name.

",Done,,"Title changed to be consistent with mask: ""Fixed Area Mean over Ice Sheets""  [MJ, 17th July)
",,,,,
recyRpzE4b0Bs7B70,Omon.sltbasin to be added to variable group paleo_ocean_transport,"Omon.sltbasin to be added to variable group paleo\_ocean\_transport
",Done,['Ocean & Sea-Ice'],,,,,,
reczSLP5DOWYAB8kp,Verify that is is still relevant to have only practical salinity (so) as a variable,"In the OMIP GMD paper by Griffies et al 2016, the use of practical salinity was justified as : ""Most models that are contributing to CMIP6 are based on pre-TEOS-10 thermodynamics and carry only salinity that approximates the observed quantity of Practical Salinity. Therefore, to facilitate comparisons across models and with observations, salinity comparisons in CMIP6 will be made against Practical Salinity regardless of the model thermodynamics.""  Has this been discussed again for CMIP7? I suppose more models use TEOS10 now; should something be added in the variable description do indicate that practical salinity and not absolute salinity should be published in ESGF? Or else, must a new variable be defined for absolute salinity? 
",In progress,['Ocean & Sea-Ice'],,,,,,
reczsmEfGWhsPdCBk,Sea water 18O should be on the ocean grid,"Please can the structure be changed to ""Temporal mean, Global ocean field on model levels [XY-O] [tmean]"" insteed? 
",In progress,['Earth system'],,,,,,
